timestamp,src_ip,pkt_count,byte_count,pkts_per_sec,bytes_per_sec,unique_dst_ips,unique_dst_ports,avg_pkt_size,std_ias,syn_count,syn_ratio,arp_req,arp_rep,mac_changes
1763682948.3301477,10.0.1.1,2,84,0.2,8.4,0,0,42.0,0,0,0,0,2,0
1763682948.3462727,10.0.1.10,1,74,0.1,7.4,1,1,74.0,0,0,0.0,0,0,1
1763682948.3606498,10.0.1.11,5,430,0.5,43.0,1,1,86.0,0.10419009302912975,1,0.3333333333333333,1,1,0
1763682948.3725898,10.0.1.12,2,84,0.2,8.4,0,0,42.0,0,0,0,2,0,0
1763682949.3903513,10.0.2.10,4,420,0.4,42.0,1,1,105.0,0.0012866699231636454,2,0.5,0,0,1
1763682949.3939385,10.0.2.11,4,420,0.4,42.0,1,1,105.0,0.0010020313572587601,2,0.5,0,0,1
1763682949.416596,10.0.1.10,13,1018,1.3,101.8,3,3,78.3076923076923,0.12365415787903203,0,0.0,0,0,8
1763682949.4332263,10.0.1.12,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682950.4499032,10.0.2.11,4,420,0.4,42.0,1,1,105.0,0.001152424826731868,2,0.5,0,0,2
1763682950.4608068,10.0.1.10,9,738,0.9,73.8,2,2,82.0,0.04270763970789945,0,0.0,0,0,3
1763682950.478198,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682951.4963458,10.0.2.10,4,420,0.4,42.0,1,1,105.0,0.0009649340271680358,2,0.5,0,0,2
1763682951.5013971,10.0.1.10,4,280,0.4,28.0,1,1,70.0,0.0005853096104006155,0,0.0,0,0,4
1763682952.5242093,10.0.2.11,4,420,0.4,42.0,1,1,105.0,0.0007907741151338028,2,0.5,0,0,2
1763682952.5292125,10.0.1.10,9,998,0.9,99.8,3,3,110.88888888888889,0.05866487475607544,0,0.0,0,0,5
1763682952.554112,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682952.579621,10.0.1.12,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682953.6142266,10.0.2.10,4,420,0.4,42.0,1,1,105.0,0.0014310372410722772,2,0.5,0,0,2
1763682953.618751,10.0.2.11,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682953.6454105,10.0.1.10,9,634,0.9,63.4,3,3,70.44444444444444,0.07812363624707942,0,0.0,0,0,6
1763682953.6682372,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682954.6910887,10.0.2.10,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682954.69766,10.0.1.10,4,288,0.4,28.8,2,2,72.0,0.06145179360713346,0,0.0,0,0,1
1763682954.7232807,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682955.748768,10.0.2.10,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682955.7562258,10.0.2.11,4,420,0.4,42.0,1,1,105.0,0.0019148669712242942,2,0.5,0,0,2
1763682955.782705,10.0.1.10,6,428,0.6,42.8,2,2,71.33333333333333,0.3269502175064052,0,0.0,0,0,4
1763682956.8052394,10.0.1.10,3,206,0.3,20.6,1,1,68.66666666666667,0.0024298429489135742,0,0.0,0,0,1
1763682956.8173106,10.0.1.12,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682957.8607652,10.0.2.10,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682957.8696976,10.0.2.11,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682957.8965015,10.0.1.10,9,634,0.9,63.4,3,3,70.44444444444444,0.19346267572204207,0,0.0,0,0,3
1763682957.915808,10.0.1.11,3,346,0.3,34.6,1,1,115.33333333333333,0.0021065473556518555,1,0.3333333333333333,0,0,0
1763682958.943855,10.0.1.10,2,140,0.2,14.0,1,1,70.0,0,0,0.0,0,0,1
1763682958.950535,10.0.1.12,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682959.9779758,10.0.2.10,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682959.9851022,10.0.2.11,4,420,0.4,42.0,1,1,105.0,0.0009927468751913303,2,0.5,0,0,2
